,groundTruth,result,index
0,"query/(10, 519).png",北,393
1,"query/(11, 914).png",鸟,1
2,"query/(13, 0).png",人,476
3,"query/(13, 390).png",力,236
4,"query/(86, 652).png",鶏,396
5,"query/(88, 520).png",東,459
6,"query/(89, 259).png",水,119
7,"query/(162, 0).png",女,342
8,"query/(162, 521).png",又,232
9,"query/(162, 912).png",百,238
10,"query/(163, 390).png",先,82
11,"query/(235, 133).png",日,211
12,"query/(243, 521).png",好,329
13,"query/(244, 0).png",子,27
14,"query/(244, 256).png",貝,40
15,"query/(317, 792).png",五,439
16,"query/(325, 259).png",大,523
17,"query/(329, 0).png",夫,153
18,"query/(393, 137).png",山,39
19,"query/(399, 784).png",六,218
20,"query/(402, 389).png",出,355
21,"query/(403, 652).png",象,13
22,"query/(404, 521).png",牛,574
23,"query/(469, 785).png",七,237
24,"query/(471, 134).png",雨,213
25,"query/(473, 652).png",虎,22
26,"query/(474, 0).png",王,589
27,"query/(484, 389).png",刀,75
28,"query/(546, 129).png",田,21
29,"query/(550, 780).png",八,151
30,"query/(555, 391).png",南,111
31,"query/(380,232).jpg",下,305
32,"query/(380,233).jpg",一,1
33,"query/(380,12).jpg",二,319
34,"query/(343,233).jpg",三,399
35,"query/(380,293).jpg",四,108
36,"query/(380,33).jpg",月,186
37,"query/(312,233).jpg",雨,587
38,"query/(30,233).jpg",小,120
39,"query/(342,233).jpg",上,360
