,groundTruth,result,index
0,"query/(10, 519).png",北,453
1,"query/(11, 914).png",鸟,1
2,"query/(13, 0).png",人,471
3,"query/(13, 390).png",力,542
4,"query/(86, 652).png",鶏,314
5,"query/(88, 520).png",東,334
6,"query/(89, 259).png",水,493
7,"query/(162, 0).png",女,58
8,"query/(162, 521).png",又,162
9,"query/(162, 912).png",百,9
10,"query/(163, 390).png",先,316
11,"query/(235, 133).png",日,201
12,"query/(243, 521).png",好,522
13,"query/(244, 0).png",子,132
14,"query/(244, 256).png",貝,443
15,"query/(317, 792).png",五,618
16,"query/(325, 259).png",大,339
17,"query/(329, 0).png",夫,24
18,"query/(393, 137).png",山,273
19,"query/(399, 784).png",六,573
20,"query/(402, 389).png",出,116
21,"query/(403, 652).png",象,359
22,"query/(404, 521).png",牛,549
23,"query/(469, 785).png",七,105
24,"query/(471, 134).png",雨,308
25,"query/(473, 652).png",虎,192
26,"query/(474, 0).png",王,5
27,"query/(484, 389).png",刀,476
28,"query/(546, 129).png",田,8
29,"query/(550, 780).png",八,483
30,"query/(555, 391).png",南,471
31,"query/(380,232).jpg",下,285
32,"query/(380,233).jpg",一,1
33,"query/(380,12).jpg",二,109
34,"query/(343,233).jpg",三,429
35,"query/(380,293).jpg",四,106
36,"query/(380,33).jpg",月,99
37,"query/(312,233).jpg",雨,486
38,"query/(30,233).jpg",小,499
39,"query/(342,233).jpg",上,162
